cb_person_default_on_file,person_home_ownership,person_income
N,RENT,23198
N,RENT,23631
N,RENT,24000
N,MORTGAGE,48000
N,RENT,24000
N,MORTGAGE,48000
N,RENT,24000
N,MORTGAGE,48000
N,RENT,24000
N,RENT,24000
N,MORTGAGE,48000
Y,MORTGAGE,42000
N,MORTGAGE,48000
Y,RENT,24000
N,OWN,48000
N,RENT,24000
N,MORTGAGE,48000
N,MORTGAGE,48000
N,MORTGAGE,48000
N,RENT,24000
N,RENT,24000
N,RENT,24996
N,RENT,24996
N,RENT,25000
N,RENT,25000
N,MORTGAGE,48000
N,RENT,25000
N,RENT,25000
N,RENT,25000
N,OWN,48000
N,MORTGAGE,48000
N,RENT,25200
N,MORTGAGE,48000
N,MORTGAGE,48000
Y,MORTGAGE,48000
N,MORTGAGE,48000
N,RENT,25200
Y,RENT,25200
N,MORTGAGE,48000
N,RENT,25200
N,RENT,25200
N,RENT,25800
Y,RENT,25800
N,RENT,26000
N,RENT,26400
N,MORTGAGE,48000
N,RENT,26400
N,RENT,26400
N,RENT,26500
N,OWN,48000
Y,RENT,26500
N,RENT,26780
N,RENT,27000
N,MORTGAGE,42000
N,RENT,27000
N,MORTGAGE,48000
N,RENT,27031
N,MORTGAGE,48000
N,RENT,27040
N,OWN,48000
N,RENT,27600
N,MORTGAGE,48000
Y,MORTGAGE,48000
Y,OWN,48000
N,MORTGAGE,48000
N,RENT,28000
N,RENT,28000
Y,RENT,28000
N,MORTGAGE,48000
N,RENT,28000
N,RENT,28284
N,MORTGAGE,48000
N,RENT,28675
N,RENT,28800
Y,RENT,28800
N,RENT,28800
N,RENT,28800
Y,RENT,28800
N,RENT,29000
N,RENT,29000
N,RENT,29000
N,RENT,29000
N,RENT,29000
Y,OWN,48000
N,RENT,29820
N,RENT,30000
N,OWN,48000
N,RENT,30000
N,RENT,30000
N,MORTGAGE,48000
N,RENT,30000
N,OTHER,48000
N,RENT,30000
N,MORTGAGE,48000
N,RENT,30000
N,RENT,30000
N,RENT,30000
N,RENT,30000
N,OWN,48000
N,MORTGAGE,48000
N,OWN,48000
Y,MORTGAGE,48000
N,RENT,30000
N,RENT,30000
N,OWN,48000
N,MORTGAGE,48000
Y,RENT,30000
N,RENT,30000
N,RENT,30000
Y,RENT,30000
N,RENT,30000
N,RENT,30000
Y,RENT,30000
N,RENT,30000
N,MORTGAGE,48000
Y,RENT,30000
N,RENT,30000
N,RENT,30000
N,MORTGAGE,48152
N,MORTGAGE,48156
N,RENT,31000
N,MORTGAGE,48235
N,MORTGAGE,48360
N,RENT,31200
N,RENT,31200
N,RENT,31200
N,RENT,31200
N,MORTGAGE,48500
N,RENT,31680
N,RENT,32000
N,MORTGAGE,48500
N,MORTGAGE,48500
N,RENT,32000
N,RENT,32000
N,OTHER,48500
Y,MORTGAGE,42500
Y,RENT,32000
Y,RENT,32001
N,MORTGAGE,48526
N,RENT,32004
N,OWN,48600
Y,RENT,32124
N,RENT,32496
N,MORTGAGE,48600
N,MORTGAGE,48600
N,RENT,33000
N,RENT,33000
N,MORTGAGE,48661
Y,RENT,33276
Y,RENT,33280
N,RENT,33600
N,RENT,33650
N,OTHER,48732
N,MORTGAGE,48800
Y,RENT,33996
N,MORTGAGE,48852
N,RENT,34000
N,RENT,34000
N,MORTGAGE,48960
Y,RENT,34000
N,MORTGAGE,48996
N,RENT,34039
N,MORTGAGE,48996
N,RENT,29000
N,RENT,35000
N,MORTGAGE,42996
N,RENT,29000
Y,RENT,35000
N,RENT,35000
N,RENT,35004
N,RENT,29004
N,RENT,35004
N,RENT,29004
N,MORTGAGE,49000
N,MORTGAGE,43000
N,MORTGAGE,49000
N,RENT,35324
Y,MORTGAGE,43000
Y,RENT,29364
N,OWN,49000
N,MORTGAGE,43000
N,MORTGAGE,49000
N,RENT,35392
N,MORTGAGE,49000
N,RENT,29916
N,RENT,36000
N,MORTGAGE,49000
N,MORTGAGE,49000
N,MORTGAGE,49000
N,MORTGAGE,49000
N,MORTGAGE,49000
N,RENT,30000
Y,RENT,30000
N,RENT,36000
N,MORTGAGE,49000
N,RENT,30000
N,MORTGAGE,49000
N,MORTGAGE,49000
N,RENT,36000
N,MORTGAGE,49000
N,OWN,49000
N,RENT,36000
N,RENT,36000
N,RENT,36000
N,MORTGAGE,49000
N,MORTGAGE,49000
N,RENT,36000
N,MORTGAGE,49000
N,RENT,36000
N,MORTGAGE,49000
Y,RENT,30000
N,RENT,36000
Y,MORTGAGE,49000
Y,MORTGAGE,49000
N,RENT,36000
N,MORTGAGE,49032
N,OWN,49140
N,MORTGAGE,49152
N,RENT,36000
Y,RENT,30000
Y,RENT,30000
Y,RENT,30000
N,MORTGAGE,49200
N,MORTGAGE,49200
N,MORTGAGE,49200
N,RENT,30000
N,MORTGAGE,49200
N,OWN,49200
N,OWN,49200
N,MORTGAGE,49200
N,RENT,36100
Y,RENT,36250
N,RENT,36450
N,RENT,36628
N,RENT,36852
N,RENT,31000
N,RENT,37000
N,MORTGAGE,49344
N,RENT,37000
N,RENT,37000
N,OWN,49441
N,RENT,37200
N,RENT,37200
N,RENT,37500
N,RENT,37920
N,MORTGAGE,49500
Y,RENT,32000
N,MORTGAGE,49500
N,RENT,38000
Y,RENT,38000
Y,MORTGAGE,49500
N,RENT,38000
N,RENT,38000
N,MORTGAGE,49536
N,RENT,38004
N,MORTGAGE,43590
N,MORTGAGE,43600
Y,MORTGAGE,49600
N,MORTGAGE,49600
Y,MORTGAGE,49600
N,MORTGAGE,43633
N,RENT,33000
N,RENT,33000
N,MORTGAGE,49713
N,MORTGAGE,49716
N,RENT,39000
N,RENT,33000
N,RENT,39000
Y,RENT,33600
N,RENT,39900
N,RENT,39996
N,RENT,39996
N,RENT,39996
N,MORTGAGE,49920
N,RENT,40000
N,RENT,40000
N,MORTGAGE,49920
N,RENT,40000
N,MORTGAGE,49992
N,MORTGAGE,49995
N,RENT,40000
N,OWN,50000
Y,RENT,40000
N,RENT,40000
N,RENT,40000
N,MORTGAGE,50000
N,RENT,40000
Y,MORTGAGE,50000
N,RENT,40000
N,RENT,40000
N,MORTGAGE,50000
N,RENT,40000
N,RENT,40000
N,MORTGAGE,50000
N,MORTGAGE,50000
Y,RENT,40000
N,RENT,34000
N,RENT,40000
N,MORTGAGE,50000
N,RENT,40000
N,RENT,40000
Y,RENT,34255
N,OWN,50000
N,RENT,41000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,41000
Y,MORTGAGE,44000
N,RENT,41004
N,RENT,41124
N,MORTGAGE,50000
N,MORTGAGE,44000
N,RENT,35196
N,MORTGAGE,50000
N,RENT,42000
N,RENT,42000
N,RENT,42000
N,RENT,42000
N,MORTGAGE,50000
N,MORTGAGE,50000
Y,MORTGAGE,50000
N,RENT,42000
N,MORTGAGE,50000
N,RENT,42000
N,OWN,50000
N,RENT,42000
N,RENT,42000
N,OWN,50000
N,RENT,42000
Y,RENT,42996
N,MORTGAGE,50000
Y,MORTGAGE,44000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,MORTGAGE,44000
N,RENT,44000
Y,RENT,44000
N,MORTGAGE,50000
N,RENT,44000
N,OWN,50000
N,OWN,50000
N,MORTGAGE,50000
N,RENT,45000
N,MORTGAGE,50000
N,OWN,50000
N,RENT,45000
N,MORTGAGE,50000
Y,RENT,39000
N,MORTGAGE,50000
N,RENT,39000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,OWN,50000
N,MORTGAGE,50000
N,RENT,45000
N,RENT,45000
N,MORTGAGE,50000
N,OWN,50000
Y,RENT,39000
N,RENT,45000
N,RENT,45000
N,RENT,45000
N,RENT,45000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,MORTGAGE,50000
Y,RENT,39000
N,RENT,45000
N,RENT,45000
N,RENT,45000
Y,RENT,39396
N,OWN,50000
N,MORTGAGE,50000
N,RENT,39600
N,MORTGAGE,50000
N,OWN,50000
N,MORTGAGE,50000
Y,RENT,46000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,46151
N,RENT,46200
N,MORTGAGE,50000
N,RENT,46443
Y,OWN,50000
N,MORTGAGE,50000
N,RENT,46500
N,RENT,40680
N,RENT,47000
N,MORTGAGE,50000
N,RENT,47000
N,RENT,47000
N,RENT,47000
N,RENT,47000
Y,RENT,47000
N,RENT,47000
N,RENT,41500
N,OWN,50000
Y,RENT,41628
N,RENT,47928
N,MORTGAGE,44000
N,RENT,48000
N,MORTGAGE,44000
N,OWN,50000
N,RENT,42000
N,MORTGAGE,50000
Y,RENT,48000
N,RENT,48000
N,RENT,48000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,48000
N,MORTGAGE,50000
Y,MORTGAGE,44000
N,MORTGAGE,44000
Y,RENT,42000
N,RENT,48000
N,OWN,50000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,48000
N,RENT,42000
N,OWN,50000
N,RENT,42000
Y,RENT,48000
N,RENT,48500
N,MORTGAGE,44000
N,RENT,48996
N,RENT,49000
N,OWN,50000
Y,MORTGAGE,50000
Y,RENT,49000
N,RENT,49152
N,RENT,49200
N,MORTGAGE,50000
Y,RENT,49500
N,MORTGAGE,50000
N,RENT,50000
N,RENT,50000
N,MORTGAGE,50000
N,RENT,50000
N,MORTGAGE,44000
N,RENT,50000
Y,RENT,50000
Y,RENT,50000
N,MORTGAGE,50000
N,RENT,50000
Y,RENT,50000
N,OWN,50000
N,RENT,50000
N,MORTGAGE,50000
N,RENT,50000
N,OWN,50000
N,RENT,50000
N,MORTGAGE,50000
N,RENT,50000
N,RENT,50000
N,RENT,50000
N,MORTGAGE,50000
N,RENT,50000
N,MORTGAGE,44000
N,MORTGAGE,50000
N,OWN,50000
N,RENT,50000
N,MORTGAGE,50000
N,RENT,50000
N,MORTGAGE,50000
N,MORTGAGE,44000
N,RENT,50508
N,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,50650
N,MORTGAGE,50000
N,RENT,50740
N,RENT,45000
N,MORTGAGE,50000
N,RENT,51356
N,RENT,51500
N,RENT,51541
N,RENT,45928
N,RENT,52000
N,MORTGAGE,50000
Y,RENT,52000
Y,RENT,52000
N,RENT,52000
N,RENT,52800
N,OWN,50000
N,RENT,53000
N,OWN,50000
N,RENT,53000
N,MORTGAGE,50000
N,RENT,53819
N,MORTGAGE,50000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,54000
N,RENT,54000
N,RENT,48000
N,MORTGAGE,50000
N,RENT,54000
Y,RENT,54000
N,RENT,54516
N,MORTGAGE,50000
N,MORTGAGE,50000
Y,MORTGAGE,50000
N,RENT,48700
N,RENT,54996
N,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,55000
Y,RENT,55000
N,MORTGAGE,50000
N,RENT,55000
N,RENT,55000
N,RENT,55000
N,RENT,55000
N,MORTGAGE,50000
N,RENT,55000
N,RENT,55000
N,RENT,49000
N,RENT,55000
N,RENT,55000
N,MORTGAGE,50000
N,MORTGAGE,50000
Y,RENT,49000
N,RENT,55000
N,RENT,55000
N,RENT,55000
N,MORTGAGE,50000
Y,RENT,49200
N,MORTGAGE,50000
N,RENT,55600
N,RENT,56000
Y,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,56000
N,MORTGAGE,50000
N,MORTGAGE,44000
N,MORTGAGE,50000
N,RENT,50000
N,RENT,57000
N,RENT,57000
N,RENT,58000
N,RENT,58000
N,MORTGAGE,50000
N,MORTGAGE,50000
Y,OWN,50000
Y,RENT,58000
N,OWN,50000
N,RENT,52800
N,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,59366
N,RENT,59400
Y,MORTGAGE,50000
N,RENT,59785
N,RENT,60000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,60000
N,OWN,50000
N,RENT,60000
Y,RENT,54000
N,MORTGAGE,50000
N,RENT,54000
N,RENT,60000
Y,RENT,60000
Y,RENT,54000
N,OWN,50000
N,MORTGAGE,50000
N,MORTGAGE,50000
Y,MORTGAGE,50000
N,RENT,60000
N,MORTGAGE,50000
N,OWN,50000
N,MORTGAGE,50000
N,RENT,54000
N,RENT,60000
N,MORTGAGE,50000
N,RENT,60495
N,OWN,50000
N,RENT,61000
N,MORTGAGE,44000
N,RENT,61104
N,MORTGAGE,50000
N,OWN,50000
N,RENT,62000
N,RENT,62000
N,RENT,24000
N,MORTGAGE,50000
Y,RENT,25279
N,RENT,26124
N,RENT,28000
N,RENT,70000
N,MORTGAGE,50000
N,RENT,15000
N,RENT,25000
N,MORTGAGE,50000
Y,RENT,33000
N,MORTGAGE,50000
N,RENT,44400
N,RENT,95000
N,RENT,96000
N,MORTGAGE,50000
N,RENT,30500
N,RENT,10000
N,MORTGAGE,50000
N,OWN,50000
N,RENT,15090
N,RENT,15600
N,RENT,17000
N,RENT,18000
N,MORTGAGE,50000
N,RENT,18000
N,RENT,18000
N,MORTGAGE,50000
N,RENT,18500
N,RENT,19200
Y,RENT,19200
N,OWN,50000
N,RENT,21600
Y,RENT,21600
N,RENT,22480
N,RENT,22500
N,RENT,22680
N,RENT,22776
N,RENT,22880
Y,MORTGAGE,50000
N,RENT,22884
Y,MORTGAGE,44000
N,MORTGAGE,50000
N,MORTGAGE,50000
Y,RENT,23000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,23460
N,RENT,24000
N,RENT,24000
N,RENT,24000
N,MORTGAGE,50000
N,OWN,50000
N,OWN,50000
N,MORTGAGE,50000
N,MORTGAGE,44000
Y,RENT,24000
N,RENT,24996
N,RENT,25000
Y,MORTGAGE,50000
N,RENT,63000
N,RENT,63000
N,RENT,63402
N,RENT,57500
Y,RENT,58668
N,RENT,65000
N,RENT,65000
Y,RENT,65000
N,RENT,59000
N,MORTGAGE,44000
N,MORTGAGE,50000
N,MORTGAGE,50000
Y,RENT,65000
N,RENT,65000
N,RENT,59000
N,RENT,65000
N,RENT,65004
N,RENT,65004
N,MORTGAGE,50000
N,RENT,65100
N,RENT,66000
Y,MORTGAGE,44000
N,RENT,66400
N,RENT,67644
N,MORTGAGE,50000
N,RENT,62065
Y,MORTGAGE,44000
Y,RENT,68250
N,MORTGAGE,50000
N,RENT,68496
N,RENT,69000
Y,MORTGAGE,44000
N,RENT,69000
Y,RENT,63400
N,RENT,69500
Y,MORTGAGE,50000
Y,RENT,69528
N,RENT,69780
N,RENT,69996
N,RENT,70000
N,MORTGAGE,44000
N,RENT,70000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,70000
N,RENT,70000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,70000
N,RENT,70000
N,MORTGAGE,50000
N,MORTGAGE,50000
Y,OWN,50000
N,OWN,50000
N,MORTGAGE,50000
N,RENT,71000
Y,RENT,65074
N,OTHER,50000
Y,MORTGAGE,50000
N,MORTGAGE,44000
Y,RENT,66000
N,OWN,50000
N,RENT,72000
N,RENT,72000
N,MORTGAGE,44000
N,MORTGAGE,44000
N,RENT,72000
N,OWN,50000
N,RENT,73000
Y,MORTGAGE,50000
Y,RENT,73500
N,OWN,50000
N,RENT,57800
Y,MORTGAGE,50000
N,MORTGAGE,44000
N,MORTGAGE,50000
N,MORTGAGE,50000
N,RENT,74000
N,RENT,74500
N,RENT,74970
N,RENT,75000
N,MORTGAGE,50000
N,MORTGAGE,50004
N,RENT,75000
N,RENT,75000
N,MORTGAGE,50004
Y,RENT,69000
N,MORTGAGE,50004
N,OWN,50004
Y,RENT,75000
N,RENT,75000
N,OWN,50004
N,MORTGAGE,50004
N,RENT,78000
Y,MORTGAGE,50004
N,RENT,78000
N,MORTGAGE,50004
Y,OWN,50004
N,RENT,80000
N,MORTGAGE,50004
Y,MORTGAGE,44004
N,RENT,80000
N,RENT,80490
N,MORTGAGE,50004
N,MORTGAGE,44004
N,RENT,80607
N,RENT,82000
N,MORTGAGE,50004
N,MORTGAGE,50004
N,MORTGAGE,50004
N,RENT,82000
N,RENT,82000
Y,MORTGAGE,50004
Y,OWN,50004
N,RENT,83954
N,RENT,84000
N,MORTGAGE,50031
N,RENT,84000
N,OWN,50052
N,RENT,84996
N,OWN,50112
N,MORTGAGE,50129
N,RENT,85000
N,MORTGAGE,50205
N,RENT,73000
N,RENT,86000
N,MORTGAGE,50280
Y,MORTGAGE,50285
Y,MORTGAGE,50300
N,RENT,86000
N,MORTGAGE,50364
N,MORTGAGE,50400
N,MORTGAGE,50400
N,MORTGAGE,50400
N,MORTGAGE,50400
N,RENT,75000
Y,RENT,89772
N,RENT,90000
N,RENT,78000
N,MORTGAGE,44400
N,OWN,50400
N,MORTGAGE,50400
N,MORTGAGE,50400
N,RENT,90000
N,RENT,90000
Y,RENT,79650
N,RENT,92000
N,RENT,81000
N,MORTGAGE,50400
N,MORTGAGE,50400
N,MORTGAGE,50400
N,RENT,95000
N,RENT,95000
N,OWN,50400
N,OWN,50400
N,RENT,96000
N,RENT,96500
N,RENT,98000
N,RENT,100000
N,OWN,50460
N,MORTGAGE,50496
N,RENT,100000
Y,RENT,100000
Y,RENT,100000
N,RENT,92000
N,RENT,105000
N,OWN,50500
N,RENT,93000
N,RENT,105500
N,RENT,95000
N,OWN,50508
N,RENT,110000
N,OWN,50600
N,MORTGAGE,50648
N,MORTGAGE,50700
N,RENT,120000
N,RENT,120000
N,RENT,125000
N,RENT,140000
N,RENT,150000
N,MORTGAGE,50750
N,RENT,38000
N,RENT,42000
Y,MORTGAGE,50900
N,RENT,60000
N,RENT,50000
N,OWN,50988
N,OWN,51000
N,RENT,19200
Y,RENT,35713
Y,MORTGAGE,45000
N,RENT,77385
N,MORTGAGE,51000
N,MORTGAGE,51000
N,RENT,19200
N,MORTGAGE,51000
N,RENT,20000
N,OWN,51000
N,RENT,26000
N,MORTGAGE,51000
Y,RENT,29004
Y,RENT,30000
N,MORTGAGE,51000
N,RENT,39996
N,RENT,40000
N,RENT,42500
N,RENT,45000
N,MORTGAGE,51000
N,MORTGAGE,51000
N,RENT,46200
N,RENT,50606
N,MORTGAGE,51000
N,MORTGAGE,51000
N,MORTGAGE,51000
N,RENT,46000
N,RENT,56000
N,RENT,60000
N,MORTGAGE,51000
N,MORTGAGE,51000
N,MORTGAGE,45000
N,RENT,65000
N,MORTGAGE,51000
N,RENT,65000
N,RENT,69000
N,MORTGAGE,51000
N,MORTGAGE,51000
N,RENT,72000
N,MORTGAGE,51000
Y,RENT,45000
N,RENT,63250
N,MORTGAGE,51000
N,MORTGAGE,51000
N,RENT,14898
N,RENT,16000
N,OWN,51000
N,RENT,19200
Y,RENT,19200
N,OWN,51000
Y,RENT,19250
Y,MORTGAGE,51000
Y,RENT,20000
N,RENT,21000
Y,RENT,23000
N,RENT,23000
N,MORTGAGE,51000
Y,MORTGAGE,51000
Y,RENT,24000
N,RENT,24000
N,RENT,26000
N,MORTGAGE,51000
Y,RENT,27000
N,RENT,55000
N,MORTGAGE,51000
N,RENT,55000
N,MORTGAGE,51000
Y,OWN,51000
N,MORTGAGE,51000
N,RENT,56000
Y,MORTGAGE,45000
N,RENT,56000
N,MORTGAGE,51000
N,RENT,56000
N,RENT,50000
N,RENT,56004
Y,RENT,57960
N,RENT,52000
N,MORTGAGE,51000
N,RENT,60000
Y,MORTGAGE,51024
N,MORTGAGE,51036
N,RENT,60000
N,RENT,60000
N,MORTGAGE,51072
N,RENT,54000
N,MORTGAGE,51168
Y,RENT,54000
N,RENT,60000
N,RENT,60000
N,RENT,60000
N,RENT,60000
N,MORTGAGE,51300
N,RENT,60000
N,RENT,60000
Y,OWN,51300
N,RENT,60000
N,MORTGAGE,51319
N,RENT,60000
N,RENT,60000
Y,RENT,54000
N,RENT,60000
N,RENT,54000
N,RENT,60000
N,RENT,60140
N,MORTGAGE,51480
N,MORTGAGE,51480
N,MORTGAGE,45480
N,MORTGAGE,51492
N,RENT,60500
N,OWN,51500
N,MORTGAGE,51500
N,RENT,62000
N,MORTGAGE,51500
Y,MORTGAGE,51500
N,MORTGAGE,51500
N,MORTGAGE,51500
N,RENT,62000
N,RENT,62100
N,MORTGAGE,51600
N,RENT,63000
N,RENT,64000
N,MORTGAGE,51600
N,MORTGAGE,51600
N,RENT,64600
N,RENT,64800
Y,RENT,65000
Y,MORTGAGE,51600
N,RENT,65000
N,OWN,51600
N,RENT,65000
N,OWN,51600
N,OWN,51600
N,RENT,65000
N,RENT,65000
N,MORTGAGE,51669
N,MORTGAGE,51684
N,OWN,51700
N,MORTGAGE,51800
N,MORTGAGE,51800
N,RENT,65000
N,MORTGAGE,51852
N,RENT,65000
N,RENT,65000
N,MORTGAGE,51900
N,RENT,66000
N,MORTGAGE,51992
N,RENT,66000
N,MORTGAGE,51996
N,RENT,66000
N,RENT,60000
N,MORTGAGE,51996
N,MORTGAGE,51996
N,MORTGAGE,51996
N,MORTGAGE,51996
N,RENT,67000
N,MORTGAGE,45996
N,RENT,67550
N,RENT,67752
Y,OWN,51996
N,RENT,68700
Y,RENT,69500
Y,RENT,54400
N,MORTGAGE,51996
Y,RENT,70000
N,MORTGAGE,51996
N,RENT,70356
N,OWN,51996
N,MORTGAGE,51996
N,RENT,72000
Y,RENT,72000
N,RENT,72000
N,RENT,66348
Y,MORTGAGE,45996
Y,RENT,72700
N,MORTGAGE,51996
N,RENT,75000
N,RENT,75000
N,RENT,75000
N,RENT,75000
N,MORTGAGE,46000
N,RENT,75000
N,MORTGAGE,52000
N,RENT,75800
N,RENT,76000
N,MORTGAGE,52000
N,RENT,78300
N,MORTGAGE,52000
N,RENT,79000
N,RENT,80000
N,RENT,74000
N,RENT,80000
N,RENT,80000
N,RENT,80400
N,MORTGAGE,52000
N,OWN,52000
N,RENT,82000
N,MORTGAGE,52000
N,RENT,76000
N,MORTGAGE,52000
Y,RENT,83000
N,MORTGAGE,52000
N,OWN,52000
N,MORTGAGE,52000
N,OWN,52000
N,MORTGAGE,52000
N,RENT,83236
N,MORTGAGE,52000
N,RENT,66300
N,MORTGAGE,52000
N,MORTGAGE,52000
N,MORTGAGE,52000
N,MORTGAGE,52000
N,RENT,85000
Y,RENT,27311
N,MORTGAGE,52000
N,RENT,28500
N,RENT,29000
Y,RENT,29100
Y,RENT,29120
N,MORTGAGE,46000
N,MORTGAGE,46000
N,MORTGAGE,46000
N,RENT,38400
N,OWN,52000
N,RENT,54000
N,RENT,12624
N,RENT,30000
N,RENT,90000
N,RENT,90000
Y,MORTGAGE,46000
Y,MORTGAGE,52000
Y,MORTGAGE,52000
N,RENT,90000
N,RENT,95000
N,RENT,70550
N,RENT,96000
N,RENT,97000
N,RENT,99100
N,RENT,100840
N,MORTGAGE,52000
N,RENT,105000
N,RENT,110000
N,MORTGAGE,52000
N,MORTGAGE,52000
N,RENT,111000
N,MORTGAGE,52000
N,RENT,115200
N,MORTGAGE,52000
N,MORTGAGE,52000
Y,OWN,52000
N,RENT,118000
N,MORTGAGE,52000
N,RENT,120000
N,MORTGAGE,52000
N,MORTGAGE,52000
N,RENT,150000
N,RENT,28000
N,MORTGAGE,52000
Y,RENT,25000
N,RENT,30000
Y,OWN,52000
Y,RENT,30000
N,RENT,37000
N,RENT,42504
Y,MORTGAGE,46000
Y,RENT,50724
Y,MORTGAGE,52000
N,MORTGAGE,46000
N,MORTGAGE,52000
N,MORTGAGE,52000
N,RENT,54503
Y,RENT,58650
N,RENT,84000
N,RENT,25000
N,RENT,55000
N,RENT,60200
Y,RENT,74415
N,RENT,32000
N,RENT,44000
N,OWN,52000
N,MORTGAGE,52000
N,RENT,18000
N,RENT,20000
Y,MORTGAGE,52000
N,RENT,21000
N,MORTGAGE,52000
Y,RENT,21600
N,MORTGAGE,52000
N,MORTGAGE,52000
N,MORTGAGE,52000
N,OWN,52000
N,MORTGAGE,52000
N,RENT,24000
N,MORTGAGE,52000
N,MORTGAGE,52000
N,MORTGAGE,52000
N,RENT,24000
Y,RENT,25000
N,MORTGAGE,52000
N,MORTGAGE,52000
N,RENT,25596
N,MORTGAGE,52000
Y,OWN,46000
N,MORTGAGE,46000
N,OWN,52000
N,OWN,52000
N,RENT,28000
N,RENT,30000
Y,RENT,30000
N,MORTGAGE,52000
N,RENT,31000
Y,RENT,32000
N,RENT,32000
N,RENT,32200
N,RENT,33000
N,RENT,33000
N,MORTGAGE,46000
Y,RENT,35000
N,MORTGAGE,52000
N,MORTGAGE,52000
N,RENT,36000
N,MORTGAGE,46000
Y,RENT,38000
N,MORTGAGE,52000
N,MORTGAGE,52000
N,MORTGAGE,52000
N,MORTGAGE,52000
N,OWN,52000
Y,RENT,34000
N,MORTGAGE,52000
N,RENT,40000
N,RENT,40100
N,RENT,40116
N,MORTGAGE,52000
Y,MORTGAGE,52000
N,RENT,35325
N,RENT,42000
Y,RENT,42000
Y,RENT,36000
N,RENT,42000
N,RENT,42000
N,MORTGAGE,52160
N,MORTGAGE,52176
N,RENT,43000
Y,MORTGAGE,52250
N,RENT,44724
N,RENT,45000
N,RENT,45600
Y,MORTGAGE,46320
Y,MORTGAGE,52360
N,MORTGAGE,46500
N,MORTGAGE,52500
N,RENT,45012
N,MORTGAGE,52500
N,MORTGAGE,46500
N,RENT,53000
N,RENT,55404
N,RENT,59000
N,MORTGAGE,52500
N,MORTGAGE,52500
N,RENT,60000
N,MORTGAGE,52500
N,RENT,62467
N,RENT,63211
N,RENT,66000
N,MORTGAGE,52584
N,MORTGAGE,46645
N,RENT,70000
N,RENT,72600
N,RENT,73000
N,MORTGAGE,52700
N,MORTGAGE,52700
N,MORTGAGE,52704
N,MORTGAGE,52739
N,MORTGAGE,52780
Y,RENT,75000
N,MORTGAGE,52800
N,RENT,80000
N,RENT,84000
N,RENT,84000
N,MORTGAGE,52800
Y,RENT,85296
N,MORTGAGE,46800
N,MORTGAGE,52800
Y,OWN,52800
N,RENT,91700
N,RENT,92000
N,OWN,52800
N,RENT,95000
N,MORTGAGE,52800
N,MORTGAGE,52800
N,MORTGAGE,52800
Y,MORTGAGE,52800
N,RENT,47000
N,RENT,45000
N,RENT,86000
Y,RENT,21600
N,MORTGAGE,46800
N,RENT,21888
N,RENT,29000
N,RENT,30000
N,RENT,30004
N,RENT,34800
N,RENT,35000
N,RENT,36000
N,OWN,53000
N,RENT,39000
N,MORTGAGE,53000
Y,RENT,41000
N,RENT,41000
N,RENT,42000
N,RENT,41838
N,RENT,48000
N,OWN,53000
N,RENT,52000
N,MORTGAGE,53000
N,MORTGAGE,47000
Y,MORTGAGE,53000
N,RENT,52000
N,OWN,53000
N,MORTGAGE,53000
Y,RENT,54000
N,RENT,60000
N,MORTGAGE,53000
N,RENT,60000
N,MORTGAGE,53000
N,RENT,64000
N,MORTGAGE,53000
N,MORTGAGE,53000
Y,RENT,70000
N,OWN,53000
N,RENT,97000
N,RENT,101877
Y,MORTGAGE,53000
N,MORTGAGE,53000
Y,MORTGAGE,53000
N,RENT,13200
N,RENT,16800
N,RENT,28000
N,MORTGAGE,47000
N,RENT,28000
N,MORTGAGE,53000
N,MORTGAGE,53000
N,RENT,50000
N,MORTGAGE,53000
Y,RENT,57100
N,RENT,34000
N,RENT,56000
Y,MORTGAGE,53000
N,RENT,72321
N,RENT,12000
N,RENT,21600
Y,RENT,24996
Y,MORTGAGE,53000
N,MORTGAGE,53000
N,RENT,27600
Y,RENT,36050
N,MORTGAGE,53000
N,RENT,48000
N,RENT,72204
N,MORTGAGE,53000
Y,RENT,85000
Y,MORTGAGE,47000
N,MORTGAGE,53000
N,OWN,53000
Y,MORTGAGE,53000
N,RENT,70000
N,RENT,41000
N,RENT,42000
N,RENT,75000
N,OWN,53000
N,OWN,53000
N,RENT,27600
N,OWN,53000
N,RENT,27800
N,OWN,53000
