person_home_ownership,person_income,loan_int_rate
MORTGAGE,46500,12.21
MORTGAGE,46551,10.62
RENT,12000,10.36
RENT,14400,11.48
RENT,15192,13.11
RENT,15436,7.88
RENT,18000,11.71
RENT,19136,17.93
OWN,46776,13.24
OWN,40800,19.03
MORTGAGE,46800,12.42
MORTGAGE,46800,6.99
RENT,20400,
MORTGAGE,46800,6.99
RENT,21600,9.25
MORTGAGE,46800,14.91
OWN,46800,
MORTGAGE,46800,7.14
RENT,21700,14.91
RENT,22000,13.04
RENT,23000,6.54
MORTGAGE,46800,7.51
RENT,23004,5.79
OWN,46800,7.51
RENT,24000,14.27
MORTGAGE,46800,14.22
RENT,24000,13.99
RENT,24000,10.99
MORTGAGE,46800,8.59
RENT,25000,9.32
RENT,25200,7.9
RENT,26400,13.72
OWN,46932,5.79
OWN,46976,14.26
RENT,26784,14.74
RENT,27996,12.53
MORTGAGE,47000,15.96
RENT,28800,9.76
RENT,30000,11.86
RENT,30000,12.53
MORTGAGE,41000,7.9
RENT,30000,8.0
MORTGAGE,47000,13.49
OWN,47000,7.51
RENT,33000,11.11
RENT,33000,
MORTGAGE,47000,12.69
MORTGAGE,47000,7.9
MORTGAGE,47000,15.96
RENT,33000,14.54
MORTGAGE,47000,10.65
RENT,33280,
RENT,33600,
OWN,47000,6.62
MORTGAGE,47000,8.9
RENT,33900,17.58
RENT,33996,13.47
RENT,34000,16.89
RENT,34000,13.11
OWN,47000,8.49
MORTGAGE,47000,11.49
RENT,36000,10.65
RENT,36000,17.14
RENT,36500,7.51
RENT,37000,9.2
RENT,38400,6.92
MORTGAGE,47000,5.99
RENT,38500,7.74
OWN,47000,5.42
RENT,40000,
MORTGAGE,47000,10.74
MORTGAGE,47000,7.66
RENT,40440,12.73
MORTGAGE,47000,12.68
MORTGAGE,47000,5.79
RENT,37000,15.31
RENT,43000,11.89
RENT,37004,15.05
RENT,44400,12.73
MORTGAGE,47000,7.66
OWN,47000,11.11
MORTGAGE,47000,7.66
RENT,45000,10.38
RENT,48000,11.49
RENT,48000,7.49
RENT,48880,10.99
RENT,44000,15.28
MORTGAGE,47000,
RENT,50000,7.14
OWN,47000,7.51
MORTGAGE,47000,7.14
MORTGAGE,47000,7.51
RENT,44052,
RENT,54000,8.94
RENT,54000,8.07
RENT,55000,11.71
RENT,56000,9.38
MORTGAGE,47000,8.94
RENT,51000,13.49
RENT,57000,10.99
RENT,51600,11.99
RENT,59000,5.42
MORTGAGE,41000,13.57
RENT,60000,7.88
MORTGAGE,47000,13.79
MORTGAGE,47000,12.21
MORTGAGE,41000,11.78
RENT,62000,17.49
RENT,62400,9.76
MORTGAGE,41000,10.71
RENT,62472,12.73
RENT,64000,10.75
RENT,72000,9.91
RENT,72996,11.49
RENT,73700,14.65
RENT,90000,11.36
MORTGAGE,47091,
MORTGAGE,47100,11.49
MORTGAGE,47110,10.99
RENT,22000,12.41
RENT,24000,12.53
RENT,31000,11.36
RENT,47004,7.49
MORTGAGE,47200,13.23
RENT,20485,7.9
OWN,47211,11.83
RENT,28800,6.62
MORTGAGE,41244,11.58
RENT,14400,14.59
RENT,18000,18.09
MORTGAGE,47300,12.69
MORTGAGE,47300,8.49
RENT,19200,8.9
RENT,19800,5.79
RENT,20000,10.75
MORTGAGE,47412,8.59
MORTGAGE,47472,11.83
RENT,24000,12.73
MORTGAGE,47484,10.62
RENT,25000,11.11
RENT,25000,7.29
RENT,26000,8.0
MORTGAGE,47500,9.91
MORTGAGE,47500,7.9
RENT,28000,14.12
MORTGAGE,47500,11.71
RENT,30000,14.46
RENT,30000,13.61
RENT,30000,
RENT,30000,
RENT,30996,7.49
MORTGAGE,47500,7.74
RENT,32000,7.9
RENT,33600,9.25
MORTGAGE,47540,10.62
MORTGAGE,47580,6.62
MORTGAGE,47580,6.03
RENT,29004,13.79
RENT,36000,7.9
MORTGAGE,41682,13.22
MORTGAGE,47700,7.9
RENT,36276,9.99
RENT,38000,6.62
MORTGAGE,47748,6.39
RENT,38000,
MORTGAGE,47760,6.03
MORTGAGE,47800,13.43
MORTGAGE,47800,11.86
RENT,33000,13.23
RENT,40000,
RENT,40000,13.8
RENT,40000,14.61
RENT,40800,16.77
RENT,41000,15.96
RENT,42000,7.49
MORTGAGE,47940,
MORTGAGE,47952,6.17
RENT,43860,9.63
MORTGAGE,48000,13.49
RENT,39000,14.96
MORTGAGE,48000,10.65
OWN,48000,15.27
RENT,47700,9.99
RENT,48000,11.14
RENT,48000,10.62
RENT,50000,11.49
RENT,50000,
RENT,50000,11.03
RENT,50004,10.59
RENT,51000,7.49
RENT,52000,7.29
MORTGAGE,42000,7.9
RENT,52800,7.29
RENT,54000,10.59
MORTGAGE,48000,10.65
RENT,54000,9.63
OWN,48000,12.69
RENT,55692,6.62
RENT,56000,6.03
RENT,56000,8.59
RENT,56000,8.32
MORTGAGE,48000,13.49
RENT,56880,
OWN,48000,6.03
RENT,60000,10.65
RENT,60000,7.29
RENT,60000,9.25
RENT,62000,9.99
MORTGAGE,48000,
OWN,48000,16.29
RENT,63000,8.49
MORTGAGE,48000,
MORTGAGE,48000,
RENT,60500,14.91
RENT,68515,12.61
MORTGAGE,48000,12.69
MORTGAGE,48000,
RENT,69000,9.99
MORTGAGE,48000,6.03
MORTGAGE,48000,11.71
RENT,69996,13.11
RENT,70000,7.9
OWN,48000,11.71
MORTGAGE,48000,13.49
RENT,70000,11.14
RENT,72000,11.12
MORTGAGE,48000,7.51
MORTGAGE,48000,10.65
OWN,48000,10.65
RENT,58650,14.84
RENT,79000,11.12
RENT,81600,5.99
MORTGAGE,42000,6.99
RENT,89610,6.54
OWN,48000,
OWN,48000,5.42
RENT,102552,9.99
RENT,25000,12.68
MORTGAGE,48000,5.42
RENT,36000,
RENT,51000,9.91
MORTGAGE,48000,10.99
MORTGAGE,48000,14.79
MORTGAGE,48000,5.99
RENT,67200,13.47
RENT,66500,
MORTGAGE,48000,
RENT,11476,7.49
RENT,35000,12.99
RENT,37000,5.42
MORTGAGE,48000,10.99
RENT,46000,7.66
MORTGAGE,48000,8.49
RENT,52500,11.12
RENT,17000,8.9
RENT,34000,10.75
MORTGAGE,48000,7.49
MORTGAGE,42000,
RENT,45900,8.94
RENT,70000,8.0
MORTGAGE,48000,13.49
RENT,85000,7.29
RENT,95000,
OWN,48000,5.99
RENT,147750,9.99
RENT,30900,9.63
MORTGAGE,48000,11.99
RENT,120000,6.17
RENT,18000,14.72
MORTGAGE,48000,6.99
RENT,20400,8.94
RENT,25000,9.91
MORTGAGE,48000,11.99
MORTGAGE,48000,13.99
RENT,27000,10.65
RENT,27252,13.06
MORTGAGE,48000,5.42
RENT,35020,8.32
OWN,48000,8.49
RENT,41300,7.43
MORTGAGE,48000,5.99
MORTGAGE,48000,5.99
MORTGAGE,48000,13.49
RENT,45000,7.88
MORTGAGE,48000,10.59
MORTGAGE,42000,12.99
RENT,144000,7.29
OWN,48000,13.49
RENT,12000,6.62
RENT,25000,14.27
RENT,26000,14.27
MORTGAGE,42000,7.66
RENT,50000,10.65
MORTGAGE,48000,9.63
OWN,48000,10.74
MORTGAGE,48000,5.42
RENT,60000,7.49
MORTGAGE,48000,10.74
RENT,19200,14.11
RENT,40000,12.69
RENT,49680,12.99
RENT,56000,14.54
RENT,14400,12.42
RENT,23000,9.63
RENT,30000,7.88
RENT,36800,10.71
RENT,34000,11.11
RENT,20124,13.49
OWN,48000,13.06
RENT,29376,7.66
MORTGAGE,48000,
MORTGAGE,48000,7.29
MORTGAGE,48000,5.42
RENT,78000,7.29
RENT,46000,14.46
RENT,12000,8.88
RENT,13440,7.49
RENT,14880,10.0
RENT,15000,6.03
RENT,15000,14.59
RENT,16000,9.63
MORTGAGE,48000,9.99
RENT,16800,14.84
RENT,17376,10.99
MORTGAGE,48000,5.79
RENT,18000,6.62
MORTGAGE,48000,
RENT,18000,12.21
RENT,18000,
RENT,18200,7.66
RENT,18996,14.74
MORTGAGE,42000,15.2
MORTGAGE,48000,6.54
RENT,18996,
RENT,19000,10.59
MORTGAGE,48000,
RENT,19200,10.59
RENT,19200,7.14
RENT,19200,9.88
RENT,19200,13.11
MORTGAGE,48000,6.17
RENT,20000,7.14
MORTGAGE,48000,6.91
OWN,48000,5.79
RENT,20400,9.99
RENT,21300,15.96
OWN,48000,11.86
RENT,21600,10.59
RENT,21600,14.42
RENT,21640,6.62
RENT,21812,14.72
RENT,21996,13.47
MORTGAGE,48000,11.86
RENT,22600,12.23
RENT,22800,
RENT,22800,13.35
MORTGAGE,48000,7.51
RENT,22880,13.57
MORTGAGE,48000,
RENT,22884,11.49
RENT,23000,10.95
MORTGAGE,48000,11.86
RENT,23040,7.9
RENT,23198,8.0
RENT,23631,
RENT,24000,10.65
MORTGAGE,48000,7.14
RENT,24000,8.9
MORTGAGE,48000,11.12
RENT,24000,6.62
MORTGAGE,48000,6.76
RENT,24000,5.42
RENT,24000,11.99
MORTGAGE,48000,7.51
MORTGAGE,42000,16.82
MORTGAGE,48000,
RENT,24000,12.99
OWN,48000,11.12
RENT,24000,
MORTGAGE,48000,10.25
MORTGAGE,48000,13.48
MORTGAGE,48000,7.88
RENT,24000,11.36
RENT,24000,12.18
RENT,24996,13.61
RENT,24996,11.83
RENT,25000,7.51
RENT,25000,
MORTGAGE,48000,10.62
RENT,25000,16.4
RENT,25000,
RENT,25000,8.0
OWN,48000,10.25
MORTGAGE,48000,9.88
RENT,25200,7.49
MORTGAGE,48000,10.62
MORTGAGE,48000,11.36
MORTGAGE,48000,
MORTGAGE,48000,
RENT,25200,7.49
RENT,25200,13.23
MORTGAGE,48000,11.36
RENT,25200,8.94
RENT,25200,9.76
RENT,25800,7.14
RENT,25800,
RENT,26000,7.49
RENT,26400,10.65
MORTGAGE,48000,8.94
RENT,26400,6.0
RENT,26400,8.59
RENT,26500,12.42
OWN,48000,7.05
RENT,26500,13.79
RENT,26780,9.25
RENT,27000,11.86
MORTGAGE,42000,8.94
RENT,27000,11.66
MORTGAGE,48000,12.53
RENT,27031,9.99
MORTGAGE,48000,8.94
RENT,27040,7.9
OWN,48000,16.35
RENT,27600,10.38
MORTGAGE,48000,11.83
MORTGAGE,48000,14.26
OWN,48000,12.87
MORTGAGE,48000,12.53
RENT,28000,10.59
RENT,28000,9.63
RENT,28000,12.98
MORTGAGE,48000,7.74
RENT,28000,9.63
RENT,28284,7.66
MORTGAGE,48000,12.84
RENT,28675,8.9
RENT,28800,
RENT,28800,13.8
RENT,28800,10.62
RENT,28800,8.94
RENT,28800,17.04
RENT,29000,15.27
RENT,29000,5.99
RENT,29000,13.61
RENT,29000,10.25
RENT,29000,11.46
OWN,48000,12.53
RENT,29820,14.22
RENT,30000,12.42
OWN,48000,7.37
RENT,30000,10.65
RENT,30000,14.27
MORTGAGE,48000,9.63
RENT,30000,13.49
OTHER,48000,11.89
RENT,30000,7.51
MORTGAGE,48000,9.32
RENT,30000,13.49
RENT,30000,7.51
RENT,30000,12.42
RENT,30000,12.42
OWN,48000,9.07
MORTGAGE,48000,9.07
OWN,48000,11.46
MORTGAGE,48000,12.09
RENT,30000,11.71
RENT,30000,11.71
OWN,48000,10.08
MORTGAGE,48000,7.68
RENT,30000,13.49
RENT,30000,10.99
RENT,30000,8.49
RENT,30000,15.99
RENT,30000,10.37
RENT,30000,6.54
RENT,30000,14.72
RENT,30000,7.51
MORTGAGE,48000,10.28
RENT,30000,
RENT,30000,8.94
RENT,30000,7.74
MORTGAGE,48152,7.29
MORTGAGE,48156,
RENT,31000,6.03
MORTGAGE,48235,12.18
MORTGAGE,48360,7.66
RENT,31200,15.23
RENT,31200,16.89
RENT,31200,13.8
RENT,31200,13.22
MORTGAGE,48500,
RENT,31680,11.12
RENT,32000,13.49
MORTGAGE,48500,7.29
MORTGAGE,48500,10.25
RENT,32000,5.42
RENT,32000,10.62
OTHER,48500,15.57
MORTGAGE,42500,15.57
RENT,32000,12.92
RENT,32001,
MORTGAGE,48526,11.14
RENT,32004,14.84
OWN,48600,7.49
RENT,32124,16.77
RENT,32496,13.04
MORTGAGE,48600,11.86
MORTGAGE,48600,11.36
RENT,33000,14.84
RENT,33000,13.85
MORTGAGE,48661,17.58
RENT,33276,11.03
RENT,33280,13.23
RENT,33600,10.71
RENT,33650,12.86
OTHER,48732,9.32
MORTGAGE,48800,7.49
RENT,33996,12.53
MORTGAGE,48852,6.99
RENT,34000,8.9
RENT,34000,12.69
MORTGAGE,48960,18.39
RENT,34000,14.09
MORTGAGE,48996,7.9
RENT,34039,7.9
MORTGAGE,48996,13.61
RENT,29000,13.49
RENT,35000,7.49
MORTGAGE,42996,13.79
RENT,29000,7.88
RENT,35000,13.98
RENT,35000,
RENT,35004,10.59
RENT,29004,15.62
RENT,35004,
RENT,29004,14.11
MORTGAGE,49000,5.42
MORTGAGE,43000,17.49
MORTGAGE,49000,5.42
RENT,35324,
MORTGAGE,43000,16.89
RENT,29364,13.35
OWN,49000,
MORTGAGE,43000,10.99
MORTGAGE,49000,13.99
RENT,35392,7.4
MORTGAGE,49000,6.99
RENT,29916,15.65
RENT,36000,
MORTGAGE,49000,6.92
MORTGAGE,49000,5.79
MORTGAGE,49000,7.66
MORTGAGE,49000,10.0
MORTGAGE,49000,10.0
RENT,30000,14.79
RENT,30000,19.39
RENT,36000,12.68
MORTGAGE,49000,6.91
RENT,30000,16.77
MORTGAGE,49000,7.88
MORTGAGE,49000,7.88
RENT,36000,10.0
MORTGAGE,49000,7.88
OWN,49000,6.76
RENT,36000,10.36
RENT,36000,11.86
RENT,36000,14.72
MORTGAGE,49000,8.94
MORTGAGE,49000,12.53
RENT,36000,10.75
MORTGAGE,49000,
RENT,36000,11.86
MORTGAGE,49000,9.32
RENT,30000,16.32
RENT,36000,7.51
MORTGAGE,49000,15.57
MORTGAGE,49000,13.17
RENT,36000,7.51
MORTGAGE,49032,11.86
OWN,49140,13.16
MORTGAGE,49152,11.71
RENT,36000,14.96
RENT,30000,14.11
RENT,30000,14.74
RENT,30000,13.16
MORTGAGE,49200,7.51
MORTGAGE,49200,7.51
MORTGAGE,49200,7.49
RENT,30000,15.45
MORTGAGE,49200,10.0
OWN,49200,13.06
OWN,49200,11.11
MORTGAGE,49200,6.17
RENT,36100,9.88
RENT,36250,14.22
RENT,36450,8.63
RENT,36628,11.86
RENT,36852,12.42
RENT,31000,11.71
RENT,37000,7.66
MORTGAGE,49344,9.99
RENT,37000,6.76
RENT,37000,11.83
OWN,49441,6.99
RENT,37200,11.71
RENT,37200,9.99
RENT,37500,12.42
RENT,37920,6.99
MORTGAGE,49500,10.36
RENT,32000,12.99
MORTGAGE,49500,7.51
RENT,38000,6.99
RENT,38000,13.57
MORTGAGE,49500,13.79
RENT,38000,10.39
RENT,38000,10.46
MORTGAGE,49536,6.62
RENT,38004,11.89
MORTGAGE,43590,11.83
MORTGAGE,43600,
MORTGAGE,49600,14.96
MORTGAGE,49600,7.4
MORTGAGE,49600,11.66
MORTGAGE,43633,15.62
RENT,33000,15.62
RENT,33000,
MORTGAGE,49713,11.86
MORTGAGE,49716,9.32
RENT,39000,10.38
RENT,33000,
RENT,39000,8.0
RENT,33600,15.58
RENT,39900,11.49
RENT,39996,7.51
RENT,39996,9.7
RENT,39996,11.66
MORTGAGE,49920,5.42
RENT,40000,10.65
RENT,40000,12.69
MORTGAGE,49920,12.53
RENT,40000,
MORTGAGE,49992,10.99
MORTGAGE,49995,11.71
RENT,40000,6.62
OWN,50000,11.71
RENT,40000,13.99
RENT,40000,7.66
RENT,40000,
MORTGAGE,50000,9.91
RENT,40000,7.66
MORTGAGE,50000,13.49
RENT,40000,5.79
RENT,40000,7.88
MORTGAGE,50000,15.27
RENT,40000,7.51
RENT,40000,8.94
MORTGAGE,50000,7.51
MORTGAGE,50000,10.65
RENT,40000,12.87
RENT,34000,
RENT,40000,7.68
MORTGAGE,50000,13.49
RENT,40000,8.32
RENT,40000,10.08
RENT,34255,22.11
OWN,50000,8.9
RENT,41000,8.9
MORTGAGE,50000,9.91
MORTGAGE,50000,6.03
RENT,41000,10.99
MORTGAGE,44000,17.27
RENT,41004,7.68
RENT,41124,7.49
MORTGAGE,50000,12.69
MORTGAGE,44000,8.9
RENT,35196,14.54
MORTGAGE,50000,7.9
RENT,42000,12.42
RENT,42000,10.65
RENT,42000,9.99
RENT,42000,7.29
MORTGAGE,50000,12.42
MORTGAGE,50000,6.03
MORTGAGE,50000,14.27
RENT,42000,12.68
MORTGAGE,50000,10.65
RENT,42000,
OWN,50000,16.29
RENT,42000,11.12
RENT,42000,12.73
OWN,50000,11.71
RENT,42000,
RENT,42996,12.84
MORTGAGE,50000,6.03
MORTGAGE,44000,
MORTGAGE,50000,12.69
MORTGAGE,50000,6.62
MORTGAGE,50000,19.42
MORTGAGE,50000,6.62
MORTGAGE,50000,6.03
MORTGAGE,50000,6.03
MORTGAGE,44000,16.29
RENT,44000,12.69
RENT,44000,14.22
MORTGAGE,50000,6.03
RENT,44000,8.0
OWN,50000,11.71
OWN,50000,12.69
MORTGAGE,50000,7.9
RENT,45000,9.91
MORTGAGE,50000,11.71
OWN,50000,12.69
RENT,45000,11.71
MORTGAGE,50000,6.03
RENT,39000,13.49
MORTGAGE,50000,7.9
RENT,39000,15.99
MORTGAGE,50000,6.03
MORTGAGE,50000,6.62
OWN,50000,7.9
MORTGAGE,50000,
RENT,45000,7.49
RENT,45000,
MORTGAGE,50000,7.51
OWN,50000,19.42
RENT,39000,14.09
RENT,45000,5.79
RENT,45000,13.23
RENT,45000,11.86
RENT,45000,11.49
MORTGAGE,50000,7.9
MORTGAGE,50000,6.62
MORTGAGE,50000,8.9
RENT,39000,13.22
RENT,45000,
RENT,45000,12.53
RENT,45000,9.38
RENT,39396,15.31
OWN,50000,9.91
MORTGAGE,50000,6.62
RENT,39600,12.42
MORTGAGE,50000,8.9
OWN,50000,9.91
MORTGAGE,50000,
RENT,46000,14.72
MORTGAGE,50000,17.27
MORTGAGE,50000,6.03
RENT,46151,10.59
RENT,46200,
MORTGAGE,50000,5.42
RENT,46443,7.9
OWN,50000,12.99
MORTGAGE,50000,10.99
RENT,46500,8.88
RENT,40680,11.36
RENT,47000,8.9
MORTGAGE,50000,8.49
RENT,47000,11.71
RENT,47000,10.99
RENT,47000,7.66
RENT,47000,5.42
RENT,47000,12.87
RENT,47000,10.33
RENT,41500,16.7
OWN,50000,7.49
RENT,41628,11.28
RENT,47928,12.53
MORTGAGE,44000,10.99
RENT,48000,
MORTGAGE,44000,5.42
OWN,50000,10.59
RENT,42000,12.99
MORTGAGE,50000,10.59
RENT,48000,12.99
RENT,48000,7.49
RENT,48000,10.37
MORTGAGE,50000,16.89
MORTGAGE,50000,10.99
MORTGAGE,50000,5.99
RENT,48000,13.48
MORTGAGE,50000,
MORTGAGE,44000,15.99
MORTGAGE,44000,7.49
RENT,42000,14.96
RENT,48000,8.59
OWN,50000,5.99
MORTGAGE,50000,10.99
MORTGAGE,50000,8.49
RENT,48000,11.89
RENT,42000,14.42
OWN,50000,7.49
RENT,42000,12.41
RENT,48000,12.22
RENT,48500,9.32
MORTGAGE,44000,8.49
RENT,48996,
RENT,49000,7.9
OWN,50000,
MORTGAGE,50000,13.99
RENT,49000,
RENT,49152,7.9
RENT,49200,13.72
MORTGAGE,50000,10.59
RENT,49500,16.07
MORTGAGE,50000,7.49
RENT,50000,10.65
RENT,50000,11.49
MORTGAGE,50000,9.99
RENT,50000,7.49
MORTGAGE,44000,11.99
RENT,50000,14.79
RENT,50000,13.49
RENT,50000,14.79
MORTGAGE,50000,6.99
RENT,50000,13.49
RENT,50000,12.99
OWN,50000,12.62
RENT,50000,
MORTGAGE,50000,10.99
RENT,50000,5.79
OWN,50000,8.49
RENT,50000,5.79
MORTGAGE,50000,10.59
RENT,50000,14.17
RENT,50000,10.75
RENT,50000,10.25
MORTGAGE,50000,9.99
RENT,50000,11.48
MORTGAGE,44000,5.42
MORTGAGE,50000,10.99
OWN,50000,5.99
RENT,50000,11.89
MORTGAGE,50000,5.99
RENT,50000,10.46
MORTGAGE,50000,7.29
MORTGAGE,44000,9.63
RENT,50508,5.42
MORTGAGE,50000,10.0
MORTGAGE,50000,6.92
RENT,50650,11.86
MORTGAGE,50000,7.66
RENT,50740,9.63
RENT,45000,17.19
MORTGAGE,50000,6.92
RENT,51356,5.79
RENT,51500,10.75
RENT,51541,12.18
RENT,45928,7.9
RENT,52000,14.22
MORTGAGE,50000,10.0
RENT,52000,12.87
RENT,52000,14.96
RENT,52000,15.68
RENT,52800,9.91
OWN,50000,6.92
RENT,53000,7.9
OWN,50000,7.29
RENT,53000,11.49
MORTGAGE,50000,7.66
RENT,53819,7.42
MORTGAGE,50000,
MORTGAGE,50000,6.92
MORTGAGE,50000,11.11
RENT,54000,12.98
RENT,54000,7.14
RENT,48000,16.45
MORTGAGE,50000,
RENT,54000,8.59
RENT,54000,12.53
RENT,54516,9.91
MORTGAGE,50000,11.11
MORTGAGE,50000,7.29
MORTGAGE,50000,13.43
RENT,48700,14.59
RENT,54996,10.75
MORTGAGE,50000,10.37
MORTGAGE,50000,
RENT,55000,10.65
RENT,55000,14.27
MORTGAGE,50000,10.0
RENT,55000,8.9
RENT,55000,
RENT,55000,6.03
RENT,55000,6.62
MORTGAGE,50000,5.42
RENT,55000,10.99
RENT,55000,6.99
RENT,49000,15.99
RENT,55000,5.42
RENT,55000,9.25
MORTGAGE,50000,8.88
MORTGAGE,50000,5.42
RENT,49000,14.84
RENT,55000,7.14
RENT,55000,10.99
RENT,55000,7.51
MORTGAGE,50000,9.25
RENT,49200,16.49
MORTGAGE,50000,
RENT,55600,
RENT,56000,7.49
MORTGAGE,50000,12.61
MORTGAGE,50000,6.17
RENT,56000,10.74
MORTGAGE,50000,5.79
MORTGAGE,44000,
MORTGAGE,50000,5.79
RENT,50000,11.48
RENT,57000,7.9
RENT,57000,8.0
RENT,58000,6.92
RENT,58000,12.18
MORTGAGE,50000,6.54
MORTGAGE,50000,15.95
OWN,50000,
RENT,58000,12.87
OWN,50000,
RENT,52800,11.97
MORTGAGE,50000,10.36
MORTGAGE,50000,11.12
RENT,59366,11.11
RENT,59400,7.9
MORTGAGE,50000,15.58
RENT,59785,8.94
RENT,60000,
MORTGAGE,50000,7.88
MORTGAGE,50000,13.61
RENT,60000,11.49
OWN,50000,11.86
RENT,60000,11.99
RENT,54000,15.62
MORTGAGE,50000,
RENT,54000,10.99
RENT,60000,
RENT,60000,14.54
RENT,54000,14.09
OWN,50000,11.49
MORTGAGE,50000,7.51
MORTGAGE,50000,7.14
MORTGAGE,50000,13.61
RENT,60000,7.51
MORTGAGE,50000,
OWN,50000,11.49
MORTGAGE,50000,13.61
RENT,54000,16.45
RENT,60000,11.48
MORTGAGE,50000,7.51
RENT,60495,
OWN,50000,7.51
RENT,61000,
MORTGAGE,44000,7.14
RENT,61104,
MORTGAGE,50000,11.86
OWN,50000,13.98
RENT,62000,10.25
RENT,62000,
RENT,24000,9.67
MORTGAGE,50000,10.25
RENT,25279,17.58
RENT,26124,5.79
RENT,28000,
RENT,70000,6.92
MORTGAGE,50000,9.88
RENT,15000,9.99
RENT,25000,7.9
MORTGAGE,50000,11.36
RENT,33000,14.65
MORTGAGE,50000,10.62
RENT,44400,6.99
RENT,95000,6.99
RENT,96000,5.99
MORTGAGE,50000,7.51
RENT,30500,6.54
RENT,10000,12.21
MORTGAGE,50000,7.88
OWN,50000,14.22
RENT,15090,8.94
RENT,15600,7.51
RENT,17000,10.62
RENT,18000,10.65
MORTGAGE,50000,6.76
RENT,18000,7.88
RENT,18000,11.14
MORTGAGE,50000,7.88
RENT,18500,7.66
RENT,19200,14.35
RENT,19200,16.82
OWN,50000,10.62
RENT,21600,6.62
RENT,21600,13.98
RENT,22480,8.0
RENT,22500,10.38
RENT,22680,10.62
RENT,22776,9.91
RENT,22880,
MORTGAGE,50000,13.48
RENT,22884,7.51
MORTGAGE,44000,19.13
MORTGAGE,50000,11.14
MORTGAGE,50000,7.74
RENT,23000,12.49
MORTGAGE,50000,12.18
MORTGAGE,50000,
RENT,23460,
RENT,24000,12.42
RENT,24000,12.99
RENT,24000,15.62
MORTGAGE,50000,12.18
OWN,50000,8.94
OWN,50000,8.94
MORTGAGE,50000,7.4
MORTGAGE,44000,15.31
RENT,24000,16.45
RENT,24996,11.86
RENT,25000,12.69
MORTGAGE,50000,14.26
RENT,63000,11.49
RENT,63000,13.23
RENT,63402,13.22
RENT,57500,11.28
RENT,58668,15.05
RENT,65000,15.23
RENT,65000,11.99
RENT,65000,16.49
RENT,59000,15.23
MORTGAGE,44000,12.18
MORTGAGE,50000,
MORTGAGE,50000,8.94
RENT,65000,13.06
RENT,65000,
RENT,59000,16.0
RENT,65000,9.63
RENT,65004,12.87
RENT,65004,7.68
MORTGAGE,50000,11.48
RENT,65100,16.2
RENT,66000,9.99
MORTGAGE,44000,14.11
RENT,66400,7.29
RENT,67644,6.99
MORTGAGE,50000,13.47
RENT,62065,11.12
MORTGAGE,44000,18.84
RENT,68250,19.13
MORTGAGE,50000,9.32
RENT,68496,8.0
RENT,69000,7.49
MORTGAGE,44000,14.74
RENT,69000,7.88
RENT,63400,15.21
RENT,69500,10.65
MORTGAGE,50000,16.32
RENT,69528,12.99
RENT,69780,9.32
RENT,69996,13.06
RENT,70000,8.49
MORTGAGE,44000,16.0
RENT,70000,7.49
MORTGAGE,50000,
MORTGAGE,50000,8.0
MORTGAGE,50000,16.0
RENT,70000,9.25
RENT,70000,6.17
MORTGAGE,50000,9.63
MORTGAGE,50000,12.53
RENT,70000,11.49
RENT,70000,11.89
MORTGAGE,50000,10.95
MORTGAGE,50000,11.26
OWN,50000,13.47
OWN,50000,9.63
MORTGAGE,50000,14.42
RENT,71000,
RENT,65074,14.42
OTHER,50000,7.68
MORTGAGE,50000,13.8
MORTGAGE,44000,16.33
RENT,66000,13.49
OWN,50000,10.33
RENT,72000,5.42
RENT,72000,7.66
MORTGAGE,44000,10.08
MORTGAGE,44000,12.92
RENT,72000,11.86
OWN,50000,9.45
RENT,73000,12.53
MORTGAGE,50000,11.97
RENT,73500,14.96
OWN,50000,8.63
RENT,57800,10.99
MORTGAGE,50000,
MORTGAGE,44000,12.61
MORTGAGE,50000,8.32
MORTGAGE,50000,13.3
RENT,74000,5.79
RENT,74500,9.99
RENT,74970,7.88
RENT,75000,12.42
MORTGAGE,50000,
MORTGAGE,50004,
RENT,75000,6.03
RENT,75000,6.99
MORTGAGE,50004,5.99
RENT,69000,16.02
MORTGAGE,50004,
OWN,50004,7.29
RENT,75000,13.98
RENT,75000,11.48
OWN,50004,11.12
MORTGAGE,50004,15.58
RENT,78000,9.99
MORTGAGE,50004,
RENT,78000,9.63
MORTGAGE,50004,11.83
OWN,50004,14.26
RENT,80000,
MORTGAGE,50004,9.32
MORTGAGE,44004,14.11
RENT,80000,8.0
RENT,80490,10.59
MORTGAGE,50004,7.37
MORTGAGE,44004,15.68
RENT,80607,12.21
RENT,82000,
MORTGAGE,50004,
MORTGAGE,50004,12.53
MORTGAGE,50004,9.32
RENT,82000,9.91
RENT,82000,7.88
MORTGAGE,50004,11.91
OWN,50004,13.87
RENT,83954,
RENT,84000,6.99
MORTGAGE,50031,5.99
RENT,84000,8.94
OWN,50052,9.63
RENT,84996,6.03
OWN,50112,5.42
MORTGAGE,50129,7.29
RENT,85000,10.0
MORTGAGE,50205,5.42
RENT,73000,14.96
RENT,86000,10.0
MORTGAGE,50280,9.63
MORTGAGE,50285,13.11
MORTGAGE,50300,18.39
RENT,86000,5.42
MORTGAGE,50364,6.03
MORTGAGE,50400,7.51
MORTGAGE,50400,9.91
MORTGAGE,50400,7.9
MORTGAGE,50400,14.65
RENT,75000,
RENT,89772,13.92
RENT,90000,13.49
RENT,78000,12.68
